gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv3024c	1	953	0.0	0.18719213613467167	8.795736095338122e-07	0.00013974539664898328
Rv2052c	2	1876	0.0	0.1782366681943849	1.0386694857363296e-06	0.000258056731834736
Rv1857	2	1446	0.0	0.20177609245579464	2.254924776278432e-05	0.000157841105615341
Rv1445c	11	10091	0.0002523337950790762	0.23011380678750554	0.00017227354963340318	0.0005120440679311564
Rv0295c	2	1566	3.992907956603799e-08	0.18899883989680008	1.683063354949856e-05	0.00013896507759292778
Rv2077c	2	1571	0.0009737903924565345	0.22432720644917764	0.0011302823216205297	0.0002575210427612331
Rv3456c	114	105110	0.00288611228832751	0.31227812986449116	0.11993426585823996	0.0020465402884888256
Rv0670	10	8072	0.001501225637492468	0.23110738971836695	3.496353664209244e-05	0.0005371885554030046
Rv1976c	2	1408	4.887307057145975e-06	0.20788893627177804	4.062387311204961e-05	0.00014873212353475778
Rv1880c	4	3228	0.0020855742752498444	0.22631911821891665	0.00012869181821524315	0.0003280093735473352
Rv1360	2	1580	2.8798259025003087e-05	0.19885252554343202	1.3750957794674082e-05	0.00022937620148598674
Rv0176	13	11222	0.00034978964996063087	0.23244559116433317	8.9061352330337e-05	0.00046601209538645364
Rv3876	15	12695	6.300096685149925e-05	0.20932526968624868	3.4369135358120284e-05	0.0006286131182519884
Rv2446c	28	21465	0.004194181067800968	0.27046221050416264	0.0008624631316295951	0.0010275001831140133
Rv1207	11	9705	0.0007859207534084571	0.23845175880059602	0.00011226468867429391	0.0005373257761254861
Rv2555c	24	19271	0.002895417629859834	0.2724816127207218	0.005641190003900955	0.000770476566454524
Rv2785c	113	104637	0.004790801254301703	0.3165879620984254	0.11773301962086925	0.0020932228694431148
Rv0199	9	6936	0.0007084710779115081	0.2574529651696671	0.0008430528547111798	0.00031929009103756465
Rv2151c	23	20992	0.0031559783598029386	0.2486041405423771	0.0015737223596369054	0.0010568195178965467
Rv3136	1	941	0.0	0.14937061802448498	2.5328325182769926e-09	0.0002481552375519463
Rv3596c	18	14989	0.0016284792679805648	0.2657620231319453	0.002840265497869975	0.0005876575348363674
Rv2981c	15	13107	0.0008936331021683055	0.23852260008366216	0.00015855275866942048	0.0006588783426681716
Rv0451c	2	1895	2.4349940434330016e-06	0.18875445442144279	8.562535633161616e-06	0.00022790564615399466
Rv0627	6	5067	6.719914394258747e-05	0.16513103082715072	1.0724874526542007e-07	0.0005956478305478689
Rv3436c	12	11221	0.0013256396839007078	0.2533103239885177	0.00033937010305997274	0.0005508619402764727
Rv3147	48	43320	0.001807600659718149	0.27552061492162205	0.00576510135263498	0.00126421156354529
Rv0885	2	1666	1.9876345704045367e-05	0.1938824129151429	8.808837638163867e-07	0.00019018320189793583
Rv2554c	7	5865	0.0005327798945366217	0.23530687921500787	9.381708508246969e-05	0.0003831774230224061
Rv1747	11	8672	0.0012416899915420902	0.26194684237572813	0.0008344879992664224	0.00039523202103081194
Rv2979c	7	5786	0.00023040880652721945	0.2052318690903903	2.006668527208053e-05	0.00049684803221192
Rv3407	5	4178	0.0033596046467113975	0.2196326280622642	0.00010973088460754205	0.00037908455891575354
Rv2135c	6	5445	0.0009210316018927365	0.2059425604416075	1.5685818847904474e-05	0.000503309573194979
Rv0062	3	2628	0.002964736025746744	0.1783158405067422	2.748762907983965e-07	0.00044626030287593665
Rv3220c	5	4130	0.00038968336517310355	0.23144049347985207	4.7431932568923804e-05	0.00028667819536850263
Rv0277c	7	5784	0.0029315165681154088	0.18209731727865885	8.95969035135447e-06	0.0009151752872496717
Rv1458c	7	5583	8.813961131385197e-05	0.1978479723710219	4.086354923285054e-06	0.0004119566557083532
Rv0951	40	34829	0.00213558129693081	0.28018393714242085	0.004158921627649167	0.001099450656950802
Rv1275	40	31311	0.006239663194026949	0.2777606199209849	0.029596611961368688	0.0009629448605304483
Rv2800	1	793	0.0	0.15560947221273513	9.049004497216726e-09	0.00017770516619863532
Rv1328	9	7591	0.003099119118518343	0.24381022529049706	0.00044536588264580744	0.0005190935844462192
Rv2257c	6	4648	0.0005894846735718814	0.21814076127743698	4.9650536921052175e-05	0.00045622480552962497
Rv2289	7	6362	0.0011136353700069628	0.2142407129770799	3.0633537587641716e-05	0.0005032591013964361
Rv2868c	10	8977	0.0002472769686550633	0.2261278895596696	0.00010657785416075896	0.0005298873031020889
Rv1298	74	69997	0.0013830628334046704	0.29052544667327906	0.09440053394958267	0.0013293743794480677
Rv2744c	12	9580	0.003511883765430109	0.23771045799603457	9.964615926515768e-05	0.0007223592745649264
Rv1707	12	9150	0.0013035258359543058	0.24991971109155078	0.000604525739704426	0.00042520429190991696
Rv2798c	1	883	0.0	0.0005285412262156448	4.311797778712728e-21	0.0005505092210294525
Rv2153c	21	18806	0.001023601179662169	0.24263133027549316	0.00020419768464493787	0.000889371503983452
Rv2069	3	2456	0.0	0.2190633211136717	0.0001253701467072425	0.0002011666204686369
Rv0171	22	19427	0.0007985495819846423	0.23679901839894024	0.00023825743660049924	0.0007205740258343067
Rv3464	7	6262	0.0006533388000382217	0.21737297194574437	3.7243853389308874e-05	0.00049459051463832
Rv0883c	5	3966	0.00025994857016291197	0.22542947406474992	8.428748800521024e-05	0.0002891596972756149
Rv1625c	10	8442	0.0016485046170799738	0.2505827315485664	0.002629829963629472	0.00043212195655562
Rv1881c	3	2262	0.00014746049347009774	0.18357541371478378	1.386952069447391e-06	0.0003253963229867114
Rv2960c	3	2479	0.0	0.18324023094410746	1.459890887350473e-05	0.00024283479844000306
Rv1193	6	4566	0.0010148956018237595	0.23345945678441604	0.0003739778379283851	0.0003163233573959485
Rv0291	9	8227	0.0	0.20700453058698126	1.0680392042939963e-05	0.0004986852554704663
Rv0948c	14	11555	0.0030557172905976834	0.253630412851558	0.0005007648378889538	0.000668676972476663
Rv0440	28	23524	0.006912780585327575	0.2870457890173782	0.00851236595070646	0.0007883487400674872
Rv2291	12	10698	0.0030526747940796523	0.21820004671330528	1.7886118889528123e-05	0.0007167464801390737
Rv1491c	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv1289	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv3868	16	13449	0.00199406557840768	0.23579062316640434	0.00032193466036367483	0.0006601682178595831
Rv2829c	4	3284	0.0006480755807431742	0.19221141294747587	3.826848576338888e-06	0.0003955139535978532
Rv2537c	7	6312	0.0006164678758258277	0.24680819916434268	0.0013570327495253953	0.00038864395237975014
