gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv3024c	1	953	0.0	0.17519492744613963	7.656389966597156e-07	0.00014777739805523648
Rv0621	1	797	0.0	0.0005417118093174431	1.4712645709194232e-17	0.0005689091167685958
Rv0131c	17	14198	0.00016832315857263135	0.2143636908737026	8.846264802880023e-05	0.0006858519724916664
Rv3636	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv1857	4	3202	0.00019933477089673063	0.19113629355971135	2.2650685555546452e-05	0.00029580146136971717
Rv2052c	2	1876	0.0	0.1653047317000552	1.0319201966634083e-06	0.0002705551804023877
Rv2077c	2	1571	0.0009648048809848879	0.2081763129059276	0.0011707764904838654	0.0002653918362431899
Rv3456c	113	104985	0.0032708517798791686	0.2878694472409337	0.12184018678438786	0.0021186752534383506
Rv0670	6	4726	0.0022141904295207068	0.1797328760946954	2.2330213717555315e-06	0.000659723340222887
Rv0417	10	9279	0.0012608201335716955	0.20676514738983037	3.0796120639083915e-05	0.0007349524272718151
Rv1976c	2	1408	2.6425521958500468e-05	0.1837941261194312	8.879646276197798e-06	0.0001792018630556316
Rv1880c	4	3266	0.004821759742136562	0.20606671480188443	4.101831238400907e-05	0.0004260671558309008
Rv0123	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv1360	2	1580	7.84780027291593e-05	0.18833342020419203	1.3160668265000058e-05	0.00026482661430891755
Rv0273c	17	13564	0.004257933929845964	0.2158490356283929	3.014409660620639e-05	0.0010713344486857016
Rv0176	14	12010	0.0008111075866915811	0.21486703972224666	7.01157125717537e-05	0.0006058551772216192
Rv3876	15	12695	6.0920825623058825e-05	0.19487608261245692	3.467227854986434e-05	0.0006850276525563776
Rv0827c	2	1560	1.384435589553275e-05	0.19692051226192184	4.609302256125229e-05	0.00017566953553481196
Rv0679c	1	970	0.0	0.15313293679190346	3.0216017373425214e-07	0.00026760269729132335
Rv2446c	26	19695	0.006253965625487072	0.24256196299989874	0.0007797162434686417	0.0012019801819968512
Rv2555c	18	14272	0.003851397613027681	0.2439766719992316	0.0031517610705690813	0.0007844710774805346
Rv2785c	110	102356	0.009028800382892508	0.2907275632778771	0.11818405792799269	0.0021769164229307413
Rv3136	1	941	0.0	0.0005417118093174431	5.5472133375685386e-17	0.0005689091167685958
Rv3596c	19	15684	0.0021216830287927985	0.24401733477789816	0.0027653995809345765	0.0007042860819757845
Rv0451c	2	1895	1.2958793175394452e-06	0.17316428251536237	8.299496768051448e-06	0.00025960860719289914
Rv0258c	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv3533c	9	6752	9.493127115413946e-06	0.20439815840672748	0.000628752497707408	0.0004084563927559238
Rv3436c	11	10269	0.00196038406342347	0.23347217487918812	0.00022722714632755658	0.0005966205751356112
Rv0885	3	2649	6.608420773242902e-05	0.19019277847069224	3.0358959512374626e-06	0.0002636963141187358
Rv2554c	6	5141	0.0005973391533081498	0.2177106332590913	5.154698443818499e-05	0.0003955917648366514
Rv2979c	8	6746	0.0003237345706502923	0.18303588056849468	1.7823234767007128e-06	0.0006474513295577389
Rv3407	5	4058	0.00671030440188035	0.20015092394632794	0.00010842555101071545	0.0005117606831836314
Rv2135c	6	5511	0.00018453662602106854	0.17546788215093348	8.63972758052229e-06	0.0005543822057234557
Rv3220c	6	4945	0.0005111135299044917	0.2158490356283929	4.034569912218416e-05	0.000360980790915963
Rv0990c	4	3406	0.00044305644127667676	0.19078759560429878	6.358233372088064e-06	0.00038396262005329057
Rv0277c	10	8086	0.009610824610052523	0.1740494541925094	9.480645738372976e-06	0.0012018774610397188
Rv1275	37	29035	0.006060636706988529	0.25096057741984723	0.029803479599601713	0.0009511071331276651
Rv2289	6	5462	0.0010468991424039497	0.190390638318256	1.8865731799915238e-05	0.0005674156698145529
