geneA	geneB	combined_score
Rv0001	Rv0002	998
Rv0001	Rv0003	958
Rv0001	Rv0005	841
Rv0001	Rv0006	820
Rv0001	Rv0058	959
Rv0001	Rv0667	781
Rv0001	Rv1536	769
Rv0001	Rv1629	720
Rv0001	Rv1708	774
Rv0001	Rv2116	932
Rv0001	Rv2150c	879
Rv0001	Rv2737c	825
Rv0001	Rv2748c	706
Rv0001	Rv3918c	725
Rv0001	Rv3921c	770
Rv0001	Rv3923c	834
Rv0001	Rv3924c	927
Rv0002	Rv0003	992
Rv0002	Rv0004	910
Rv0002	Rv0005	952
Rv0002	Rv0006	887
Rv0002	Rv0058	810
Rv0002	Rv0427c	850
Rv0002	Rv0570	709
Rv0002	Rv0938	895
Rv0002	Rv1321	756
Rv0002	Rv1329c	716
Rv0002	Rv1537	941
Rv0002	Rv1547	993
Rv0002	Rv1629	997
Rv0002	Rv2090	948
Rv0002	Rv2101	920
Rv0002	Rv2191	967
Rv0002	Rv2413c	989
Rv0002	Rv2529	781
Rv0002	Rv2697c	743
Rv0002	Rv2737c	935
Rv0002	Rv2764c	713
Rv0002	Rv2902c	861
Rv0002	Rv3051c	710
Rv0002	Rv3056	919
Rv0002	Rv3062	892
Rv0002	Rv3370c	905
Rv0002	Rv3394c	861
Rv0002	Rv3644c	988
Rv0002	Rv3646c	834
Rv0002	Rv3711c	979
Rv0002	Rv3721c	997
Rv0002	Rv3731	892
Rv0002	Rv3921c	748
Rv0002	Rv3923c	840
Rv0002	Rv3924c	803
Rv0003	Rv0004	931
Rv0003	Rv0005	975
Rv0003	Rv0006	861
Rv0003	Rv0058	757
Rv0003	Rv1696	714
Rv0003	Rv2362c	752
Rv0003	Rv2737c	749
Rv0003	Rv3715c	852
Rv0003	Rv3923c	884
Rv0003	Rv3924c	737
Rv0004	Rv0005	797
Rv0004	Rv0007	704
Rv0004	Rv1122	708
Rv0004	Rv2413c	811
Rv0005	Rv0006	999
Rv0005	Rv0007	772
Rv0005	Rv0350	818
Rv0005	Rv0352	793
Rv0005	Rv0440	892
Rv0005	Rv0667	976
Rv0005	Rv0668	949
Rv0005	Rv0682	861
Rv0005	Rv0684	854
Rv0005	Rv0685	808
Rv0005	Rv0701	735
Rv0005	Rv0704	700
Rv0005	Rv0730	956
Rv0005	Rv1208	755
Rv0005	Rv1304	714
Rv0005	Rv1310	845
Rv0005	Rv1436	719
Rv0005	Rv1484	966
Rv0005	Rv1612	858
Rv0005	Rv1629	819
Rv0005	Rv1650	820
Rv0005	Rv1694	912
Rv0005	Rv1821	749
Rv0005	Rv1908c	907
Rv0005	Rv2043c	949
Rv0005	Rv2150c	835
Rv0005	Rv2343c	771
Rv0005	Rv2373c	836
Rv0005	Rv2416c	870
Rv0005	Rv2737c	919
Rv0005	Rv2764c	712
Rv0005	Rv2839c	753
Rv0005	Rv3100c	837
Rv0005	Rv3240c	879
Rv0005	Rv3361c	997
Rv0005	Rv3396c	709
Rv0005	Rv3457c	867
Rv0005	Rv3608c	701
Rv0005	Rv3646c	760
Rv0005	Rv3795	962
Rv0005	Rv3846	823
Rv0005	Rv3859c	783
Rv0005	Rv3919c	877
Rv0006	Rv0007	946
Rv0006	Rv0058	748
Rv0006	Rv0350	747
Rv0006	Rv0640	713
Rv0006	Rv0667	980
Rv0006	Rv0668	955
Rv0006	Rv0682	963
Rv0006	Rv0684	859
Rv0006	Rv0685	873
Rv0006	Rv0701	781
Rv0006	Rv0702	757
Rv0006	Rv1310	728
Rv0006	Rv1483	774
Rv0006	Rv1484	968
Rv0006	Rv1630	769
Rv0006	Rv1694	949
Rv0006	Rv1797	746
Rv0006	Rv1908c	918
Rv0006	Rv2043c	965
Rv0006	Rv2150c	870
Rv0006	Rv2373c	720
Rv0006	Rv2416c	870
Rv0006	Rv2447c	702
Rv0006	Rv2737c	891
Rv0006	Rv2764c	710
Rv0006	Rv3100c	815
Rv0006	Rv3240c	743
Rv0006	Rv3423c	711
