locus_id,gene_name
Rv0001,dnaA
Rv0002,dnaN
Rv0003,recF
Rv0004,Rv0004
Rv0005,gyrB
Rv0006,gyrA
Rv0007,Rv0007
Rvnt01,ileT
Rvnt02,alaT
Rv0008c,Rv0008c
Rv0009,ppiA
Rv0010c,Rv0010c
Rv0011c,Rv0011c
Rv0012,Rv0012
Rv0013,trpG
Rv0014c,pknB
Rv0015c,pknA
Rv0016c,pbpA
Rv0017c,rodA
Rv0018c,pstP
Rv0019c,fhaB
Rv0020c,fhaA
Rvnt03,leuT
Rv0021c,Rv0021c
Rv0022c,whiB5
Rv0023,Rv0023
Rv0024,Rv0024
Rv0025,Rv0025
Rv0026,Rv0026
Rv0027,Rv0027
Rv0028,Rv0028
Rv0029,Rv0029
Rv0030,Rv0030
Rv0032,bioF2
Rv0033,acpA
Rv0034,Rv0034
Rv0035,fadD34
Rv0036c,Rv0036c
Rv0037c,Rv0037c
Rv0038,Rv0038
Rv0039c,Rv0039c
Rv0040c,mtc28
Rv0041,leuS
Rv0042c,Rv0042c
Rv0043c,Rv0043c
Rv0044c,Rv0044c
Rv0045c,Rv0045c
Rv0046c,ino1
Rv0047c,Rv0047c
Rv0048c,Rv0048c
Rv0049,Rv0049
Rv0050,ponA1
Rv0051,Rv0051
Rv0052,Rv0052
Rv0053,rpsF
Rv0054,ssb
Rv0055,rpsR1
Rv0056,rplI
Rv0057,Rv0057
Rv0058,dnaB
Rv0059,Rv0059
Rv0060,Rv0060
Rv0061c,Rv0061c
Rv0062,celA1
Rv0063,Rv0063
Rv0063a,Rv0063a
Rv0064,Rv0064
Rv0064A,vapB1
Rv0065,vapC1
Rv0066c,icd2
Rv0067c,Rv0067c
Rv0068,Rv0068
Rv0069c,sdaA
Rv0070c,glyA2
Rv0071,Rv0071
Rv0072,Rv0072
Rv0073,Rv0073
Rv0074,Rv0074
Rv0075,Rv0075
Rv0076c,Rv0076c
Rv0077c,Rv0077c
Rv0078,Rv0078
Rv0078A,Rv0078A
Rv0078B,Rv0078B
Rv0079,Rv0079
Rv0080,Rv0080
Rv0081,Rv0081
Rv0082,Rv0082
Rv0083,Rv0083
Rv0084,hycD
