gene	community
Rv3024c	0
Rv2052c	5
Rv1857	5
Rv1445c	2
Rv0295c	3
Rv2077c	37
Rv3456c	4
Rv0670	2
Rv1976c	11
Rv1880c	0
Rv1360	10
Rv0176	3
Rv3876	8
Rv2446c	1
Rv1207	0
Rv2555c	0
Rv2785c	4
Rv0199	3
Rv2151c	7
Rv3136	0
Rv3596c	13
Rv2981c	7
Rv0451c	10
Rv0627	10
Rv3436c	0
Rv3147	3
Rv0885	0
Rv2554c	0
Rv1747	3
Rv2979c	12
Rv3407	13
Rv2135c	11
Rv0062	12
Rv3220c	5
Rv0277c	10
Rv1458c	12
Rv0951	2
Rv1275	4
Rv2800	1
Rv1328	12
Rv2257c	6
Rv2289	6
Rv2868c	6
Rv1298	4
Rv2744c	6
Rv1707	9
Rv2798c	38
Rv2153c	7
Rv2069	7
Rv0171	3
Rv3464	12
Rv0883c	6
Rv1625c	0
Rv1881c	0
Rv2960c	8
Rv1193	3
Rv0291	8
Rv0948c	0
Rv0440	13
Rv2291	0
Rv1491c	105
Rv1289	104
Rv3868	8
Rv2829c	2
Rv2537c	0
Rv3300c	11
Rv0981	5
Rv1708	9
Rv0462	0
Rv2533c	10
Rv1385	10
Rv2786c	0
Rv2049c	1
Rv3157	3
Rv2599	0
Rv3792	1
Rv3221c	2
Rv0206c	3
Rv1368	11
Rv2467	0
Rv2503c	2
Rv0966c	10
Rv3875	8
Rv3038c	0
Rv2763c	0
Rv0102	3
Rv3336c	0
Rv2525c	7
Rv0485	11
Rv1019	5
Rv2007c	13
Rv2890c	4
Rv1165	5
Rv3509c	2
Rv2778c	103
Rv3898c	36
Rv0183	3
Rv1982A	102
Rv2403c	101
Rv1210	1
Rv3865	8
Rv0459	0
Rv1826	0
Rv2178c	0
Rv1770	18
Rv2130c	11
Rv3841	6
Rv0865	5
Rv3722c	2
Rv2968c	2
Rv0468	2
Rv3633	12
Rv0681	5
Rv1821	6
Rv3049c	9
Rv1208	1
Rv1017c	2
Rv2949c	8
Rv3918c	1
Rv3004	1
Rv0463	0
Rv3030	1
Rv3295	100
Rv0906	7
Rv2629	4
Rv3307	0
Rv3035	1
Rv0474	11
Rv1164	5
Rv3342	0
Rv1241	10
Rv1641	4
Rv2395B	21
Rv0969	16
Rv3301c	11
Rv0636	3
Rv1780	1
Rv0577	2
Rv1832	0
Rv0996	1
Rv2552c	0
Rv1466	12
Rv1604	0
Rv0526	9
Rv2881c	6
Rv1322	6
Rv1919c	1
Rv3264c	12
Rv1713	9
Rv1926c	13
Rv3260c	6
Rv2200c	3
Rv2697c	9
Rv2447c	0
Rv3828c	12
Rv1402	1
Rv0487	11
Rv3492c	3
Rv0718	4
Rv2297	5
Rv1540	4
Rv1087	22
Rv0461	0
Rv0683	4
Rv0188	99
Rv1796	8
Rv3306c	0
Rv2788	5
Rv3236c	40
Rv1077	0
Rv3674c	9
Rv0805	0
Rv2842c	4
Rv2127	0
Rv0052	1
Rv0716	4
Rv1603	0
Rv2504c	2
Rv1181	3
Rv0751c	2
Rv1038c	8
Rv1692	1
Rv2795c	2
Rv1346	2
Rv3624c	0
Rv2125	0
Rv3205c	1
Rv3377c	6
Rv3003c	2
Rv2388c	98
Rv2476c	0
Rv1448c	2
Rv3418c	13
Rv0016c	7
Rv2849c	9
Rv0641	4
Rv3873	8
Rv3001c	2
Rv1636	10
Rv1107c	1
Rv3774	2
Rv0074	0
Rv3893c	97
